Date,Store,Store_Type,Store_Status,Promo,Promo2,School_Holiday,Customers,Sales
2021-01-01,1,supermarket,1,0,0,0,124,0
2021-01-02,1,pharmacy,1,0,0,0,87,0
2021-01-03,1,supermarket,1,1,0,0,74,778
2021-01-04,1,supermarket,0,1,0,0,0,0
2021-01-05,1,pharmacy,1,1,0,0,76,1002
2021-01-06,1,pharmacy,1,0,0,0,103,0
2021-01-07,1,supermarket,1,0,0,0,126,0
2021-01-08,1,convenience,0,0,1,0,0,0
2021-01-09,1,supermarket,1,1,0,0,129,1503
2021-01-10,1,supermarket,1,0,0,0,92,126
2021-01-11,1,supermarket,1,0,0,0,91,0
2021-01-12,1,supermarket,1,1,0,0,92,1004
2021-01-13,1,pharmacy,1,0,0,0,113,76
2021-01-14,1,supermarket,1,0,0,0,94,0
2021-01-15,1,convenience,1,0,0,0,98,57
2021-01-16,1,pharmacy,1,0,0,0,99,0
2021-01-17,1,convenience,1,0,0,0,104,102
2021-01-18,1,convenience,0,0,0,0,0,0
2021-01-19,1,convenience,1,0,0,0,84,0
2021-01-20,1,convenience,1,0,0,0,106,59
2021-01-21,1,pharmacy,1,0,0,0,89,1
2021-01-22,1,pharmacy,1,0,0,0,92,0
2021-01-23,1,convenience,1,0,1,0,94,0
2021-01-24,1,convenience,1,0,0,0,102,0
2021-01-25,1,pharmacy,1,0,0,0,90,0
2021-01-26,1,pharmacy,1,0,0,0,97,0
2021-01-27,1,pharmacy,1,0,0,0,108,233
2021-01-28,1,supermarket,1,0,0,0,88,0
2021-01-29,1,supermarket,1,0,0,0,99,53
2021-01-30,1,supermarket,1,0,0,0,109,0
2021-01-31,1,convenience,0,1,0,0,0,0
2021-02-01,1,supermarket,1,0,0,0,101,77
2021-02-02,1,convenience,1,0,0,0,88,93
2021-02-03,1,convenience,1,0,0,0,110,0
2021-02-04,1,supermarket,1,1,0,0,141,1793
2021-02-05,1,convenience,0,0,0,0,0,0
2021-02-06,1,supermarket,1,0,0,0,101,37
2021-02-07,1,supermarket,1,0,1,0,100,4
2021-02-08,1,pharmacy,1,0,1,0,83,0
2021-02-09,1,supermarket,1,1,1,0,106,1089
2021-02-10,1,pharmacy,0,0,0,0,0,0
2021-02-11,1,supermarket,1,1,0,0,82,954
2021-02-12,1,supermarket,0,0,0,0,0,0
2021-02-13,1,pharmacy,1,0,0,0,96,104
2021-02-14,1,pharmacy,1,0,0,0,92,137
2021-02-15,1,supermarket,1,0,0,0,101,65
2021-02-16,1,convenience,1,0,0,0,84,58
2021-02-17,1,pharmacy,1,0,0,0,113,0
2021-02-18,1,convenience,1,0,0,0,95,17
2021-02-19,1,convenience,1,1,0,0,115,1077
2021-02-20,1,convenience,0,0,0,0,0,0
2021-02-21,1,pharmacy,1,0,0,0,93,59
2021-02-22,1,convenience,1,0,0,0,110,4
2021-02-23,1,pharmacy,1,0,0,0,90,0
2021-02-24,1,convenience,1,0,0,0,97,26
2021-02-25,1,supermarket,1,1,0,0,95,1116
2021-02-26,1,supermarket,1,1,0,0,107,1429
2021-02-27,1,pharmacy,1,0,0,0,101,0
2021-02-28,1,supermarket,1,0,0,0,111,285
2021-03-01,1,supermarket,1,0,1,0,94,163
2021-03-02,1,convenience,1,1,0,0,76,570
2021-03-03,1,pharmacy,1,0,0,0,84,125
2021-03-04,1,convenience,0,0,0,0,0,0
2021-03-05,1,convenience,1,1,0,0,110,1046
2021-03-06,1,convenience,1,1,0,0,109,1138
2021-03-07,1,convenience,1,0,0,0,86,0
2021-03-08,1,convenience,1,1,0,0,111,952
2021-03-09,1,convenience,1,0,0,0,102,75
2021-03-10,1,convenience,1,0,0,0,114,0
2021-03-11,1,pharmacy,1,0,0,0,102,0
2021-03-12,1,supermarket,1,1,0,0,117,1500
2021-03-13,1,convenience,1,0,1,0,99,36
2021-03-14,1,convenience,1,0,0,0,90,0
2021-03-15,1,convenience,1,1,0,0,96,876
2021-03-16,1,convenience,1,0,0,0,92,223
2021-03-17,1,convenience,1,1,0,0,85,866
2021-03-18,1,convenience,1,0,0,0,103,0
2021-03-19,1,supermarket,0,0,1,0,0,0
2021-03-20,1,supermarket,1,0,0,0,99,118
2021-03-21,1,convenience,1,1,0,0,113,1133
2021-03-22,1,supermarket,1,0,1,0,94,0
2021-03-23,1,pharmacy,1,0,1,0,103,0
2021-03-24,1,convenience,1,0,0,0,114,0
2021-03-25,1,pharmacy,1,1,0,0,93,1086
2021-03-26,1,pharmacy,1,0,0,0,103,0
2021-03-27,1,convenience,1,0,0,0,97,155
2021-03-28,1,supermarket,1,0,1,0,85,129
2021-03-29,1,pharmacy,1,1,0,0,105,1130
2021-03-30,1,convenience,1,0,0,0,98,0
2021-03-31,1,pharmacy,1,0,0,0,101,0
2021-04-01,1,pharmacy,1,1,0,0,114,1299
2021-04-02,1,pharmacy,1,1,0,0,101,1196
